part_number,quantity,guide_price
DIN127B4B3C,100,3.6125
NSA936501TA2202,50,0.918
936501-TA2202,50,0.918
10-4804-365,1,1773.7885
10-4804 365,1,1773.7885
LN9038K06018,2,4.811
LN9350-06035,2,3.91
"DIN125-2,5NRST",20,1.3175
LN9136-04010,10,3.8165
LN29952-0615M,20,1.088
LN9023B8-1.4544.9,10,3.1705
LN9037-08022,1,8.5425
LN9038-05026,10,9.622
LN9037-08035,5,3.1025
LN9037-05046,5,9.6645
RSGU1.10-12W1,10,3.3745
2600-4S,2,14.3565
NSA55132-004,2,14.3565
LN9038-05022,10,9.1885
DMC-MD80-01,1,202.708
DMC-M20-22SN,1,66.5295
S65-1016,1,1127.151
C16196AB,1,3056.0645
980-6113-010,1,1891.726
LN9037-06042,5,8.9335
LN9038-05030,5,6.12
LN9038-08016,20,2.8305
MS24693S3,100,3.179
LN9438M6X22,2,7.412
244-16,10,30.107
LN29631A11BLACK,2,0.9265
LN29631A11SW,2,0.9265
LN29631A11WS,1,3.604
105-79501.26,1,5.6525
1057950126,1,5.6525
R4G,50,1.666
R 4-G,50,1.666
NSA55147-102,50,1.666
4002-7SW,2,20.077
4002-9SW,1,20.8335
DIN2093B20,20,2.5245
LN9439M5X35,10,6.936
36151,50,2.8475
LN29794-05X20,2,5.797
MS20470AD3-3,20,0.85
MS20470AD3-4,50,0.629
MS20470AD3-5,100,0.442
MS20470AD4-4,100,0.034
MS20470AD4-5,100,0.0935
MS20470AD4-6,50,0.0425
MS20470AD4-7,50,0.2635
MS20470AD5-6,100,0.0595
MS20470AD5-9,1,0.0595
MS20426AD3-3,100,0.2635
MS20426AD3-4,100,0.782
MS20426AD3-6,20,0.034
MS20426AD4-5,20,1.19
LN9439M5X22,5,5.542
MS35207-263,50,1.649
LN9038-06022,10,2.6775
ASNA0363T0404,1,9.01
CR7773S-04-04W,1,9.01
ASNA0363T0502,1,9.622
CR7773S-05-02W,1,9.622
LN29673AM5,10,7.0465
LN29671AM5,20,1.309
ASNA0363T0503,1,10.625
CR7773S-05-03W,1,10.625
CR7773S-5-3W,1,10.625
MS35207-228,20,3.1535
ASNA0363T0504,20,10.5995
CR7773S-05-04W,20,10.5995
ASNA0363T0505,1,11.611
CR7773S-05-05W,1,11.611
ASNA0363T0506,100,10.7355
EN3155-008M2018,20,0.272
EN3155008M2018,20,0.272
EN3155-016M1212,1,13.056
DHS713-181-04,1,13.056
DHS713-181.04,1,13.056
EN3155016M1212,1,13.056
937910EA1200,1,13.056
NSA937910EA1200,1,13.056
123000112,1,13.056
MS35478-1683,1,21.2245
LN9139M4X16,10,4.2245
WS6,1,19.2525
YS6,1,2.89
0770 8900 006,1,2.89
770 8900 006,1,2.89
NORMAPLAST YS NW 06,1,2.89
YS 06-VPE,1,2.89
BWT21-1408,1,114.1125
LN29671AM6,20,7.582
LN29679AM6,5,12.529
LN29681BM6,2,13.668
LN29679BM5,10,9.5455
ASNA0341T0404,1,7.922
CR7770S-04-04W,1,7.922
ASNA0341T04-04,1,7.922
LN9240-5X2,1,6.4685
LN29952-0610K,10,4.6155
RNF-100-3/16-9,1,2.567
RNF100TYP1-.3/16WS,1,2.567
LN29794-04X10,2,3.876
LOCTITE274.,1,6307.3315
LN9438AM4X16,20,4.5135
LN9438AM4X18,20,1.4195
LN29954-05,1,17.8245
RG400U,1,13.5915
NSA55172-001,100,16.6685
55172-001,100,16.6685
26R16-1,100,16.6685
LN9439M5X20,20,5.7885
LN9380M8X32,5,12.138
LN9037-08038,2,3.1705
LN9038-06030,20,3.3745
LN9338-08,5,2.346
LN9439M4X15,5,4.1735
LN29679BM4,2,8.8995
LN9023B6-1.4544.9,5,0.935
LN29522-08010,2,2.9325
LN9037-05038,5,9.469
LN9037-05012,10,1.751
LN9439M3X12,20,0.986
LN9082-8X16S,1,14.484
LN29522-06024,2,24.0635
LN9156A8,1,2.142
AS22-38-20-02,1,365.3045
AS22-38-20-02 AMDT A,1,365.3045
LN9347-08040,1,3.9015
LN9037-08018,5,3.2045
LN9025-0405K,20,1.3175
LN9023A8-1.4544.9,20,5.559
LN9023A10-1.4544.9,10,1.3005
LN9038-08030,2,4.2075
155510-5,1,1047.7185
155510-6,1,1317.3895
LN9038-06024,5,2.771
